Discriminator Input,FPGA Signal Name,Package Pin
1,HDA00_CC (JA1 D16),G11
2,HDA01 (JA1 D17),F10
3,HDA02 (JA1 D18),J11
4,HDA03 (JA1 B16),J10
5,HDA04 (JA1 B17),K13
6,HDA05 (JA1 B18),K12
7,HDA06 (JA1 C18),H11
8,HDA07 (JA1 C19),G10
9,HDA08_CC (JA1 C20),F12
10,HDA09 (JA1 A15),F11
11,HDA10 (JA1 A16),J12
12,HDA11 (JA1 A17),H12
13,HDA12 (JA1 D20),E10
14,HDA13 (JA1 D21),D10
15,HDA14 (JA1 D22),C11
16,HDA15 (JA1 B20),B10
17,HDB00_CC (JA2 D44),AE12
18,HDB01 (JA2 D45),AF12
19,HDB02 (JA2 D46),AG10
20,HDB03 (JA2 D48),AH10
21,HDB04 (JA2 D49),AF11
22,HDB05 (JA2 D50),AG11
23,HDB06 (JA2 C46),AH12
24,HDB07 (JA2 C47),AH11
25,HDB08_CC (JA2 C48),AC12
26,HDB09 (JA2 C50),AD12
27,HDB10 (JA2 C51),AE10
28,HDB11 (JA2 C52),AF10
29,HDB12 (JA2 B44),AD11
30,HDB13 (JA2 B45),AD10
31,HDB14 (JA2 B46),AA11
32,HDB15 (JA2 B48),AA10
33,HDB16_CC (JA2 B49),AB11
34,HDB17 (JA2 B50),AC11
35,HDB18 (JA2 A46),W10
36,HDB19 (JA2 A47),Y10
37,HDB20 (JA2 A48),Y9
38,HDB21 (JA2 A50),AA8
39,HDB22 (JA2 A51),AB10
40,HDB23 (JA2 A52),AB9
41,HDC00_CC (JA2 D52),AD15
42,HDC01 (JA2 D53),AD14
43,HDC02 (JA2 D54),AE15
44,HDC03 (JA2 D56),AE14
45,HDC04 (JA2 D57),AG14
46,HDC05 (JA2 D58),AH14
47,HDC06 (JA2 C54),AG13
48,HDC07 (JA2 C55),AH13
49,HDC08_CC (JA2 C56),AC14
50,HDC09 (JA2 C58),AC13
51,HDC10 (JA2 C59),AE13
52,HDC11 (JA2 C60),AF13
53,HDC12 (JA2 B52),AA13
54,HDC13 (JA2 B53),AB13
55,HDC14 (JA2 B54),W14
56,HDC15 (JA2 B56),W13
57,HDC16_CC (JA2 B57),AB15
58,HDC17 (JA2 B58),AB14
59,HDC18 (JA2 A54),Y14
60,HDC19 (JA2 A55),Y13
61,HDC20 (JA2 A56),W12
62,HDC21 (JA2 A58),W11
63,HDC22 (JA2 A59),Y12
64,HDC23 (JA2 A60),AA12
